"Project Definitions",,,
"Project ID","Maximum Allocation (per Lecturer)","Project Title",
"1",6,"Shock Transients",
"2",6,"Physics Force",
"3",6,"Solar UAV",
"4",6,"Mental Health",
"5",6,"Wind Farm",
"6",6,"Remote Thermometer",
"7",6,"Road Damage",
"8",6,"Smart Shoe",
"9",6,"ECG Compression",
"10",6,"Underwater Manipulator",
"11",6,"Power Outages",
"12",6,"Acoustic Beamforming",
"13",6,"Load Disaggregation",
"14",6,"Wireless Power",
"15",6,"Cruise Control",
"16",6,"MRI Denoising",
"17",6,"Mass Spectrometer",
"18",6,"RF FPGA",
,,,
"Lecturer Preferences",,,
"Lecturer Name","Maximum Allocation","Project IDs…"
"Davison",6,"1"
"Hanany",6,"2"
"Papanikolopoulos/CDR",6,"3"
"Papanikolopoulos",6,"4"
"Materassi/Cordone",6,"5"
"Cordone/Materassi",6,"6"
"Hong",6,"7"
"Karpuzcu",6,"8"
"Sobelman",6,"9"
"Choi",6,"10"
"Imbertson",6,"11"
"Low",6,"12"
"Giannakis/Dhople",6,"13"
"Choi",6,"14"
"Barzagan",6,"15"
"Akcakaya",6,"16"
"Sartori",6,"17"
"Franklin",6,"18"
,,,
"Student Preferences",,,
"Student Name","Group Size","Project IDs…",,
"JgN0group","6","2","9","6","17","5","1","4","18","14","10"
"6hK0group","5","11","3","1","17","6","15","4","13","8","18"
"eJi0group","4","1","7","16","3","18","5","8","13","4","10"
"o2O0group","3","14","4","3","12","6","5","2","10","8","11"
"1/90group","3","17","13","10","15","6","5","1","8","18","12"
"bwL0group","2","17","14","15","18","10","7","16","9","6","12"
"fkJ0group","2","12","2","14","3","7","6","16","13","8","17"
"PvU0","1","5","11","18","6","9","10","3","13","17","16"
"7B80","1","8","9","16","1","12","5","18","7","10","15"
"L+20","1","9","7","11","2","10","16","13","15","12","1"
"Bxn0","1","7","3","17","9","1","5","18","4","8","13"
"9uv0","1","16","5","10","4","8","11","18","6","12","15"
"WYm0","1","8","7","4","17","5","1","9","13","11","2"
"9g60","1","11","6","12","2","15","4","17","9","5","1"
"d6m0","1","1","8","14","9","17","18","11","7","15","4"
"I280","1","14","18","1","2","5","10","4","8","16","15"
"aHS0","1","13","4","11","18","14","5","8","17","7","16"
"ASF0","1","1","8","18","3","12","9","15","14","6","17"
"Lpc0","1","5","12","10","4","16","8","7","15","14","11"
"Ikn0","1","2","7","1","3","10","6","13","16","17","9"
"/bo0","1","2","4","1","11","17","12","7","18","10","16"
"pjJ0","1","11","6","4","5","14","15","1","10","17","2"
"in10","1","13","1","17","16","14","10","5","3","6","7"
"14B0","1","7","14","16","2","13","12","6","17","3","15"
"fDh0","1","1","9","2","16","13","17","10","8","3","4"
"Bgy0","1","8","17","4","14","6","9","11","10","7","15"
"Eiy0","1","11","17","15","1","10","13","7","8","5","16"
"tyC0","1","16","10","14","13","12","18","15","1","8","17"
"PZH0","1","18","5","4","16","10","2","11","17","14","7"
"nDH0","1","16","1","8","17","13","10","18","3","2","11"
"cPb0","1","14","8","13","5","3","18","16","15","11","12"
"7tr0","1","15","16","2","3","13","8","11","14","6","4"
"MIQ0","1","16","3","15","12","17","5","10","11","8","7"
"Mp20","1","17","11","6","18","1","9","3","13","15","14"
"B5L0","1","5","8","6","2","7","4","14","12","3","9"
"a9w0","1","13","6","14","11","17","18","9","7","4","1"
"2KG0","1","16","5","3","11","15","12","9","4","7","8"
"qhl0","1","7","4","14","16","13","12","1","10","17","15"
"Vkw0","1","18","12","7","3","17","11","8","16","9","2"
"iba0","1","2","5","11","15","12","16","4","3","7","6"
"IDR0","1","17","6","4","15","13","16","2","14","12","11"
"h/r0","1","8","13","1","15","2","18","17","9","7","5"
"qQm0","1","15","5","2","13","11","17","7","4","12","8"
"aVa0","1","18","5","2","6","3","10","12","1","8","15"
"etH0","1","6","10","8","3","2","11","7","14","18","4"
"KY80","1","12","18","17","16","14","9","11","6","2","1"
